state bpc vote deny
al 8  3  5
ak 3  0  3
az 10 2  6 
ar 4  2  2
ca 54 6  9
co 9  0  5
ct 7  0  0
de 3  0  0 
fl 29 6  8
ga 15 4  9
hi 5  0  0 
id 4  1  3
il 20 1  6
in 11 4  5
ia 6  0  5
ks 5  2  3
ky 8  2  5
la 8  4  2
me 4  1  1
md 10 0  1
ma 11 0  0
mi 16 4  3
mn 10 0  4
ms 6  2  3
mo 10 4  4
mt 3  0  2
ne 5  3  2
nv 6  0  2
nh 4  0  0
nj 14 5  0
nm 5  0  1
ny 29 5  3
nc 15 2  10
nd 3  0  3
oh 18 6  6
ok 7  1  6
or 7  1  0
pa 20 4  10 
rh 4  0  0
sc 8  4  3
sd 3  2  1
tn 11 2  5
tx 38 12 16
ut 6  1  5
vt 3  0  0 
va 13 1  5
wa 12 3  1
wv 5  1  4
wi 10 0  6
wy 3  0  3
